epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6854.56,1.32014,1.02075,1.33877,0.80725,0.68782,0.77225,0.44804,1.5542,1.06538,1.51514,0.000614,0.000614,0.000614
44,7015.83,1.32055,1.03127,1.34244,0.78768,0.69749,0.77339,0.4487,1.54616,1.07902,1.51703,0.000581,0.000581,0.000581
45,7174.92,1.30575,1.01271,1.33549,0.79757,0.70192,0.77905,0.45537,1.53753,1.05535,1.50594,0.000548,0.000548,0.000548
46,7335.44,1.29863,1.00621,1.3295,0.80578,0.70586,0.7853,0.46013,1.53053,1.04573,1.50521,0.000515,0.000515,0.000515
47,7495.54,1.29242,0.99673,1.32535,0.81092,0.70744,0.78878,0.4665,1.51845,1.03602,1.48838,0.000482,0.000482,0.000482
48,7657.33,1.27274,0.97539,1.31377,0.8101,0.70973,0.79053,0.46781,1.51739,1.02516,1.49542,0.000449,0.000449,0.000449
49,7817.63,1.27027,0.96896,1.30954,0.81588,0.71198,0.7977,0.47389,1.51791,1.01135,1.49014,0.000416,0.000416,0.000416
50,7977.07,1.27015,0.96329,1.30985,0.83354,0.70554,0.79561,0.4777,1.4952,1.00172,1.47945,0.000383,0.000383,0.000383
51,8135.93,1.24221,0.86604,1.29106,0.81525,0.72004,0.79515,0.4773,1.49781,1.00542,1.47629,0.00035,0.00035,0.00035
52,8292.1,1.21067,0.83443,1.27399,0.8118,0.71488,0.79733,0.48244,1.49785,0.98801,1.48173,0.000317,0.000317,0.000317
53,8445.99,1.19832,0.81933,1.2667,0.81491,0.72648,0.80014,0.48938,1.47958,0.98612,1.46876,0.000284,0.000284,0.000284
54,8602.03,1.185,0.80949,1.25795,0.82459,0.72542,0.80552,0.49027,1.48142,0.97799,1.46972,0.000251,0.000251,0.000251
55,8756.56,1.17996,0.80153,1.2592,0.83588,0.72262,0.808,0.49358,1.47032,0.9776,1.46444,0.000218,0.000218,0.000218
56,8912.29,1.16288,0.7874,1.24627,0.83437,0.72058,0.80661,0.49534,1.46487,0.97669,1.4611,0.000185,0.000185,0.000185
57,9066.94,1.1567,0.77737,1.24145,0.84409,0.71714,0.80987,0.49896,1.46587,0.97419,1.46261,0.000152,0.000152,0.000152
58,9222.73,1.14356,0.76739,1.23533,0.84979,0.71392,0.80982,0.50265,1.45771,0.96588,1.4568,0.000119,0.000119,0.000119
59,9378.08,1.13579,0.75856,1.22852,0.84052,0.72552,0.81372,0.50586,1.45179,0.95306,1.4511,8.6e-05,8.6e-05,8.6e-05
60,9534.12,1.13625,0.75478,1.23051,0.8448,0.72775,0.81319,0.50656,1.44962,0.95394,1.45203,5.3e-05,5.3e-05,5.3e-05
